ibge_id;ano;dependencia_id;localizacao_id;serie_id;matriculas;aprovados;reprovados;abandonos;TIPO
3515103;2012;2;0;9;1315;91,6;6,8;1,6;AF
3515103;2012;0;1;9;1524;92;6,5;1,5;AF
3515103;2012;5;1;9;1416;92,2;6,3;1,5;AF
3515103;2012;4;1;9;108;90,3;8,7;1;AF
3515103;2012;3;1;9;101;100;0;0;AF
3515103;2012;2;1;9;1315;91,6;6,8;1,6;AF
3515103;2012;0;0;6;1311;96,9;2,5;0,6;AF
3515103;2012;5;0;6;1164;97;2,3;0,7;AF
3515103;2012;4;0;6;147;95,8;4,2;0;AF
3515103;2012;3;0;6;107;99,1;0;0,9;AF
3515103;2012;2;0;6;1057;96,8;2,6;0,6;AF
3515103;2012;0;1;6;1267;96,9;2,5;0,6;AF
3515103;2012;5;1;6;1164;97;2,3;0,7;AF
3515103;2012;4;1;6;103;96;4;0;AF
3515103;2012;3;1;6;107;99,1;0;0,9;AF
3515103;2012;2;1;6;1057;96,8;2,6;0,6;AF
3515103;2012;0;2;6;44;95,5;4,5;0;AF
3515103;2012;5;2;6;0;0;0;0;AF
3515103;2012;4;2;6;44;95,5;4,5;0;AF
3515103;2012;3;2;6;0;0;0;0;AF
3515103;2012;0;0;8;1480;97,5;2,3;0,2;AF
3515103;2012;5;0;8;1289;97,7;2,1;0,2;AF
3515103;2012;4;0;8;191;95,7;3,8;0,5;AF
3515103;2012;3;0;8;101;100;0;0;AF
3515103;2012;2;0;8;1188;97,5;2,3;0,2;AF
3515103;2012;0;1;8;1412;97,5;2,3;0,2;AF
3515103;2012;5;1;8;1289;97,7;2,1;0,2;AF
3515103;2012;4;1;8;123;94,9;4,2;0,9;AF
3515103;2012;3;1;8;101;100;0;0;AF
3515103;2012;2;1;8;1188;97,5;2,3;0,2;AF
3515103;2012;0;2;8;68;97;3;0;AF
3515103;2012;5;2;8;0;0;0;0;AF
3515103;2012;4;2;8;68;97;3;0;AF
3515103;2012;3;2;8;0;0;0;0;AF
3515103;2012;0;0;7;1385;97,1;2,3;0,6;AF
3515103;2012;5;0;7;1236;97,3;2;0,7;AF
3515103;2012;4;0;7;149;95,2;4,8;0;AF
3515103;2012;3;0;7;110;93,6;4,6;1,8;AF
3515103;2012;2;0;7;1126;97,7;1,7;0,6;AF
3515103;2012;0;1;7;1343;97,1;2,3;0,6;AF
3515103;2012;5;1;7;1236;97,3;2;0,7;AF
3515103;2012;4;1;7;107;94,3;5,7;0;AF
3515103;2012;3;1;7;110;93,6;4,6;1,8;AF
3515103;2012;2;1;7;1126;97,7;1,7;0,6;AF
3515103;2012;0;2;7;42;97,6;2,4;0;AF
3515103;2012;5;2;7;0;0;0;0;AF
3515103;2012;4;2;7;42;97,6;2,4;0;AF
3515103;2012;3;2;7;0;0;0;0;AF
3515103;2012;0;0;2;1009;98,6;1,2;0,2;AI
3515103;2012;5;0;2;846;99,8;0;0,2;AI
3515103;2012;4;0;2;163;92,5;7,5;0;AI
3515103;2012;3;0;2;287;99,3;0;0,7;AI
3515103;2012;2;0;2;559;100;0;0;AI
3515103;2012;0;1;2;896;99,3;0,5;0,2;AI
3515103;2012;5;1;2;826;99,8;0;0,2;AI
3515103;2012;4;1;2;70;94,2;5,8;0;AI
3515103;2012;3;1;2;267;99,2;0;0,8;AI
3515103;2012;2;1;2;559;100;0;0;AI
3515103;2012;0;2;2;113;93;7;0;AI
3515103;2012;5;2;2;20;100;0;0;AI
3515103;2012;4;2;2;93;91,3;8,7;0;AI
3515103;2012;3;2;2;20;100;0;0;AI
3515103;2012;0;0;1;939;99,5;0,4;0,1;AI
3515103;2012;5;0;1;839;99,4;0,5;0,1;AI
3515103;2012;4;0;1;100;100;0;0;AI
3515103;2012;3;0;1;427;99,5;0,2;0,3;AI
3515103;2012;2;0;1;412;99,3;0,7;0;AI
3515103;2012;0;1;1;886;99,4;0,5;0,1;AI
3515103;2012;5;1;1;810;99,4;0,5;0,1;AI
3515103;2012;4;1;1;76;100;0;0;AI
3515103;2012;3;1;1;398;99,5;0,3;0,2;AI
3515103;2012;2;1;1;412;99,3;0,7;0;AI
3515103;2012;0;2;1;53;100;0;0;AI
3515103;2012;5;2;1;29;100;0;0;AI
