Ano;NOME;Métrica;Valor
2020;ALUNO-30;DESTAQUE_IDA;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
2020;ALUNO-30;DESTAQUE_IPV;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
2020;ALUNO-30;IAA;7.9166799999999995
2020;ALUNO-30;IEG;10
2020;ALUNO-30;IPS;7.5
2020;ALUNO-30;IDA;4.75
2020;ALUNO-30;IPP;2.5
2020;ALUNO-30;IPV;6.916665
2020;ALUNO-30;IAN;10
2020;ALUNO-33;INSTITUICAO_ENSINO_ALUNO;Escola Pública
2020;ALUNO-33;IDADE_ALUNO;13
2020;ALUNO-33;ANOS_PM;0
2020;ALUNO-33;FASE_TURMA;3E
2020;ALUNO-33;PONTO_VIRADA;Não
2020;ALUNO-33;INDE;7.013888333333334
2020;ALUNO-33;INDE_CONCEITO;C
2020;ALUNO-33;PEDRA;Ágata
2020;ALUNO-33;DESTAQUE_IEG;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.
2020;ALUNO-33;DESTAQUE_IDA;Seu destaque em 2020: As suas boas notas na Passos Mágicos.
2020;ALUNO-33;DESTAQUE_IPV;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
2020;ALUNO-33;IAA;6.66667
2020;ALUNO-33;IEG;4.5
2020;ALUNO-33;IPS;7.5
2020;ALUNO-33;IDA;8.666666666666666
2020;ALUNO-33;IPP;7.083333333333334
2020;ALUNO-33;IPV;6.277773333333332
2020;ALUNO-33;IAN;10
2020;ALUNO-34;INSTITUICAO_ENSINO_ALUNO;Escola Pública
2020;ALUNO-34;IDADE_ALUNO;12
2020;ALUNO-34;ANOS_PM;2
2020;ALUNO-34;FASE_TURMA;2C
2020;ALUNO-34;PONTO_VIRADA;Não
2020;ALUNO-34;INDE;7.698890666666667
2020;ALUNO-34;INDE_CONCEITO;B
2020;ALUNO-34;PEDRA;Ametista
2020;ALUNO-34;DESTAQUE_IEG;Seu destaque em 2020: A sua boa entrega das lições de casa.
2020;ALUNO-34;DESTAQUE_IDA;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
2020;ALUNO-34;DESTAQUE_IPV;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
2020;ALUNO-34;IAA;8.500020000000001
2020;ALUNO-34;IEG;9.3
2020;ALUNO-34;IPS;6.875
2020;ALUNO-34;IDA;7
2020;ALUNO-34;IPP;8.125
2020;ALUNO-34;IPV;7.944443333333334
2020;ALUNO-34;IAN;5
2020;ALUNO-34;FASE_2021;2.0
2020;ALUNO-35;INSTITUICAO_ENSINO_ALUNO;Escola Pública
2020;ALUNO-35;IDADE_ALUNO;18
2020;ALUNO-35;ANOS_PM;3
2020;ALUNO-35;FASE_TURMA;7B
2020;ALUNO-35;PONTO_VIRADA;Não
2020;ALUNO-35;INDE;6.64396
2020;ALUNO-35;INDE_CONCEITO;C
2020;ALUNO-35;PEDRA;Ágata
2020;ALUNO-35;DESTAQUE_IEG;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.
2020;ALUNO-35;DESTAQUE_IDA;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
2020;ALUNO-35;DESTAQUE_IPV;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
2020;ALUNO-35;IAA;8.75001
2020;ALUNO-35;IEG;6.1
2020;ALUNO-35;IPS;6.25
2020;ALUNO-35;IDA;5
2020;ALUNO-35;IPP;7.65625
2020;ALUNO-35;IPV;8.29167
2020;ALUNO-35;IAN;5
2020;ALUNO-35;FASE_2021;7.0
2020;ALUNO-36;INSTITUICAO_ENSINO_ALUNO;Escola Pública
2020;ALUNO-36;IDADE_ALUNO;14
2020;ALUNO-36;ANOS_PM;1
2020;ALUNO-36;FASE_TURMA;3C
2020;ALUNO-36;PONTO_VIRADA;Não
2020;ALUNO-36;INDE;8.307780333333334
2020;ALUNO-36;INDE_CONCEITO;B
2020;ALUNO-36;PEDRA;Ametista
2020;ALUNO-36;DESTAQUE_IEG;Seu destaque em 2020: A sua boa entrega das lições de casa.
2020;ALUNO-36;DESTAQUE_IDA;Seu destaque em 2020: As suas boas notas na Passos Mágicos.
2020;ALUNO-36;DESTAQUE_IPV;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
2020;ALUNO-36;IAA;9.58335
2020;ALUNO-36;IEG;9.9
2020;ALUNO-36;IPS;7.5
2020;ALUNO-36;IDA;8
2020;ALUNO-36;IPP;8.749999999999998
2020;ALUNO-36;IPV;8.222226666666668
2020;ALUNO-36;IAN;5
2020;ALUNO-36;FASE_2021;3.0
2020;ALUNO-37;INSTITUICAO_ENSINO_ALUNO;Escola Pública
2020;ALUNO-37;IDADE_ALUNO;10
2020;ALUNO-37;ANOS_PM;2
2020;ALUNO-37;FASE_TURMA;2N
2020;ALUNO-37;PONTO_VIRADA;Não
2020;ALUNO-37;INDE;6.6788913333333335
2020;ALUNO-37;INDE_CONCEITO;C
2020;ALUNO-37;PEDRA;Ágata
2020;ALUNO-37;DESTAQUE_IEG;Seu destaque em 2020: A sua boa entrega das lições de casa.
2020;ALUNO-37;DESTAQUE_IDA;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
2020;ALUNO-37;DESTAQUE_IPV;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
2020;ALUNO-37;IAA;10.000020000000001
2020;ALUNO-37;IEG;7.7
2020;ALUNO-37;IPS;4.375
2020;ALUNO-37;IDA;2.5
2020;ALUNO-37;IPP;6.458333333333333
2020;ALUNO-37;IPV;7.77778
2020;ALUNO-37;IAN;10
2020;ALUNO-37;FASE_2021;2.0
2020;ALUNO-38;FASE_2021;3.0
2020;ALUNO-39;INSTITUICAO_ENSINO_ALUNO;Escola Pública
2020;ALUNO-39;IDADE_ALUNO;13
2020;ALUNO-39;ANOS_PM;3
2020;ALUNO-39;FASE_TURMA;3F
2020;ALUNO-39;PONTO_VIRADA;Não
2020;ALUNO-39;INDE;8.131388333333334
2020;ALUNO-39;INDE_CONCEITO;B
2020;ALUNO-39;PEDRA;Ametista
2020;ALUNO-39;DESTAQUE_IEG;Seu destaque em 2020: A sua boa entrega das lições de casa.
2020;ALUNO-39;DESTAQUE_IDA;Seu destaque em 2020: As suas boas notas na Passos Mágicos.
2020;ALUNO-39;DESTAQUE_IPV;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
2020;ALUNO-39;IAA;6.24999
2020;ALUNO-39;IEG;9.4
2020;ALUNO-39;IPS;7.5
2020;ALUNO-39;IDA;8.333333333333334
2020;ALUNO-39;IPP;8.541666666666666
2020;ALUNO-39;IPV;6.777780000000001
2020;ALUNO-39;IAN;10
2020;ALUNO-40;FASE_2021;5.0
2020;ALUNO-41;INSTITUICAO_ENSINO_ALUNO;Escola Pública
2020;ALUNO-41;IDADE_ALUNO;11
2020;ALUNO-41;ANOS_PM;0
2020;ALUNO-41;FASE_TURMA;1D
2020;ALUNO-41;PONTO_VIRADA;Não
2020;ALUNO-41;INDE;7.460002
2020;ALUNO-41;INDE_CONCEITO;B
2020;ALUNO-41;PEDRA;Ametista
2020;ALUNO-41;DESTAQUE_IEG;Seu destaque em 2020: A sua boa entrega das lições de casa.
2020;ALUNO-41;DESTAQUE_IDA;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
2020;ALUNO-41;DESTAQUE_IPV;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
2020;ALUNO-41;IAA;8.000020000000001
2020;ALUNO-41;IEG;8.3
2020;ALUNO-41;IPS;7.5
2020;ALUNO-41;IDA;7.25
2020;ALUNO-41;IPP;7.5
2020;ALUNO-41;IPV;7.75
2020;ALUNO-41;IAN;5
2020;ALUNO-41;FASE_2021;2.0
2020;ALUNO-42;FASE_2021;0.0
2020;ALUNO-43;INSTITUICAO_ENSINO_ALUNO;Escola Pública
2020;ALUNO-43;IDADE_ALUNO;13
2020;ALUNO-43;ANOS_PM;2
2020;ALUNO-43;FASE_TURMA;4F
2020;ALUNO-43;PONTO_VIRADA;Não
2020;ALUNO-43;INDE;7.8052090000000005
2020;ALUNO-43;INDE_CONCEITO;B
2020;ALUNO-43;PEDRA;Ametista
2020;ALUNO-43;DESTAQUE_IEG;Seu destaque em 2020: A sua boa entrega das lições de casa.
2020;ALUNO-43;DESTAQUE_IDA;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
2020;ALUNO-43;DESTAQUE_IPV;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
2020;ALUNO-43;IAA;7.5
2020;ALUNO-43;IEG;7.5
2020;ALUNO-43;IPS;7.5
2020;ALUNO-43;IDA;7
2020;ALUNO-43;IPP;7.96875
2020;ALUNO-43;IPV;8.04167
2020;ALUNO-43;IAN;10
2020;ALUNO-44;INSTITUICAO_ENSINO_ALUNO;Escola Pública
2020;ALUNO-44;IDADE_ALUNO;9
2020;ALUNO-44;ANOS_PM;0
2020;ALUNO-44;FASE_TURMA;1M
2020;ALUNO-44;PONTO_VIRADA;Não
2020;ALUNO-44;INDE;6.218335
2020;ALUNO-44;INDE_CONCEITO;C
2020;ALUNO-44;PEDRA;Ágata
2020;ALUNO-44;DESTAQUE_IEG;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.
2020;ALUNO-44;DESTAQUE_IDA;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
2020;ALUNO-44;DESTAQUE_IPV;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
2020;ALUNO-44;IAA;9.000020000000001
2020;ALUNO-44;IEG;6.8
2020;ALUNO-44;IPS;7.5
2020;ALUNO-44;IDA;0
2020;ALUNO-44;IPP;6.25
2020;ALUNO-44;IPV;7.916665
2020;ALUNO-44;IAN;10
2020;ALUNO-45;INSTITUICAO_ENSINO_ALUNO;Escola Pública
2020;ALUNO-45;IDADE_ALUNO;11
2020;ALUNO-45;ANOS_PM;1
2020;ALUNO-45;FASE_TURMA;1G
2020;ALUNO-45;PONTO_VIRADA;Não
2020;ALUNO-45;INDE;6.631252
2020;ALUNO-45;INDE_CONCEITO;C
2020;ALUNO-45;PEDRA;Ágata
2020;ALUNO-45;DESTAQUE_IEG;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.
2020;ALUNO-45;DESTAQUE_IDA;Seu destaque em 2020: As suas boas notas na Passos Mágicos.
2020;ALUNO-45;DESTAQUE_IPV;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
2020;ALUNO-45;IAA;8.500020000000001
2020;ALUNO-45;IEG;1
2020;ALUNO-45;IPS;7.5
2020;ALUNO-45;IDA;10
2020;ALUNO-45;IPP;7.8125
2020;ALUNO-45;IPV;7.75
2020;ALUNO-45;IAN;5
2020;ALUNO-46;INSTITUICAO_ENSINO_ALUNO;Escola Pública
2020;ALUNO-46;IDADE_ALUNO;8
2020;ALUNO-46;ANOS_PM;0
2020;ALUNO-46;FASE_TURMA;0C
2020;ALUNO-46;PONTO_VIRADA;Não
2020;ALUNO-46;INDE;6.966669
2020;ALUNO-46;INDE_CONCEITO;C
2020;ALUNO-46;PEDRA;Ágata
2020;ALUNO-46;DESTAQUE_IEG;Seu destaque em 2020: A sua boa entrega das lições de casa.
2020;ALUNO-46;DESTAQUE_IDA;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
2020;ALUNO-46;DESTAQUE_IPV;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
2020;ALUNO-46;IAA;9.500020000000001
2020;ALUNO-46;IEG;10
2020;ALUNO-46;IPS;7.5
2020;ALUNO-46;IDA;0
2020;ALUNO-46;IPP;7.5
2020;ALUNO-46;IPV;7.583335
2020;ALUNO-46;IAN;10
2020;ALUNO-46;FASE_2021;0.0
2020;ALUNO-47;FASE_2021;1.0
2020;ALUNO-51;INSTITUICAO_ENSINO_ALUNO;Escola Pública
2020;ALUNO-51;IDADE_ALUNO;8
2020;ALUNO-51;ANOS_PM;1
2020;ALUNO-51;FASE_TURMA;0D
2020;ALUNO-51;PONTO_VIRADA;Não
2020;ALUNO-51;INDE;8.955835
2020;ALUNO-51;INDE_CONCEITO;A
2020;ALUNO-51;PEDRA;Topázio
2020;ALUNO-51;DESTAQUE_IEG;Seu destaque em 2020: A sua boa entrega das lições de casa.
2020;ALUNO-51;DESTAQUE_IDA;Seu destaque em 2020: As suas boas notas na Passos Mágicos.
2020;ALUNO-51;DESTAQUE_IPV;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
2020;ALUNO-51;IAA;9.500020000000001
2020;ALUNO-51;IEG;9.8
2020;ALUNO-51;IPS;7.5
2020;ALUNO-51;IDA;10
2020;ALUNO-51;IPP;8.125
2020;ALUNO-51;IPV;7.416665
2020;ALUNO-51;IAN;10
2020;ALUNO-51;FASE_2021;1.0
2020;ALUNO-52;INSTITUICAO_ENSINO_ALUNO;Escola Pública
2020;ALUNO-52;IDADE_ALUNO;10
2020;ALUNO-52;ANOS_PM;2
2020;ALUNO-52;FASE_TURMA;2F
2020;ALUNO-52;PONTO_VIRADA;Não
2020;ALUNO-52;INDE;8.181112666666667
2020;ALUNO-52;INDE_CONCEITO;B
2020;ALUNO-52;PEDRA;Ametista
2020;ALUNO-52;DESTAQUE_IEG;Seu destaque em 2020: A sua boa entrega das lições de casa.
