inep_id;ano;dependencia_id;localizacao_id;serie_id;matriculas;aprovados;reprovados;abandonos;TIPO
35429168;2010;4;1;8;20;100;0;0;AF
35429168;2010;4;1;9;18;94.4;5.6;0;AF
35429168;2010;4;1;10;25;95.5;4.5;0;AF
35429168;2010;4;1;11;14;100;0;0;AF
35429168;2010;4;1;12;12;100;0;0;AF
35659137;2010;3;1;1;99;99;0;1;AF
35659137;2010;3;1;2;38;100;0;0;AF
35659137;2010;3;1;3;55;92.3;7.7;0;AF
35659137;2010;3;1;4;51;100;0;0;AF
35659137;2010;3;1;5;64;93.3;6.7;0;AF
35659137;2010;3;1;6;63;100;0;0;AF
35659137;2010;3;1;7;63;92.3;1.5;6.2;AF
35659137;2010;3;1;8;59;94.7;0;5.3;AF
35659137;2010;3;1;9;0;0;0;0;AF
35659137;2010;3;1;10;0;0;0;0;AF
35659137;2010;3;1;11;0;0;0;0;AF
35659137;2010;3;1;12;0;0;0;0;AF
35664200;2010;3;2;1;18;100;0;0;AF
35664200;2010;3;2;2;14;100;0;0;AF
35664200;2010;3;2;3;18;100;0;0;AF
35664200;2010;3;2;4;0;0;0;0;AF
35664200;2010;3;2;5;0;0;0;0;AF
35664200;2010;3;2;6;0;0;0;0;AF
35664200;2010;3;2;7;0;0;0;0;AF
35664200;2010;3;2;8;0;0;0;0;AF
35664200;2010;3;2;9;0;0;0;0;AF
35664200;2010;3;2;10;0;0;0;0;AF
35664200;2010;3;2;11;0;0;0;0;AF
35664200;2010;3;2;12;0;0;0;0;AF
35664224;2010;3;1;1;106;100;0;0;AF
35664224;2010;3;1;2;19;100;0;0;AF
35664224;2010;3;1;3;23;100;0;0;AF
35664224;2010;3;1;4;25;100;0;0;AF
35664224;2010;3;1;5;21;90;10;0;AF
35664224;2010;3;1;6;0;0;0;0;AF
35664224;2010;3;1;7;0;0;0;0;AF
35664224;2010;3;1;8;0;0;0;0;AF
35664224;2010;3;1;9;0;0;0;0;AF
35664224;2010;3;1;10;0;0;0;0;AF
35664224;2010;3;1;11;0;0;0;0;AF
35664224;2010;3;1;12;0;0;0;0;AF
35902160;2010;2;1;1;0;0;0;0;AF
35902160;2010;2;1;2;0;0;0;0;AF
35902160;2010;2;1;3;0;0;0;0;AF
35902160;2010;2;1;4;0;0;0;0;AF
35902160;2010;2;1;5;0;0;0;0;AF
35902160;2010;2;1;6;61;98.4;1.6;0;AF
35902160;2010;2;1;7;59;98.1;1.9;0;AF
35902160;2010;2;1;8;56;98.2;1.8;0;AF
35902160;2010;2;1;9;51;100;0;0;AF
35902160;2010;2;1;10;48;94.7;5.3;0;AF
35902160;2010;2;1;11;19;100;0;0;AF
35902160;2010;2;1;12;28;100;0;0;AF
35904181;2010;2;1;1;0;0;0;0;AF
35904181;2010;2;1;2;0;0;0;0;AF
35904181;2010;2;1;3;0;0;0;0;AF
35904181;2010;2;1;4;0;0;0;0;AF
35904181;2010;2;1;5;0;0;0;0;AF
35904181;2010;2;1;6;94;98.9;0;1.1;AF
35904181;2010;2;1;7;74;98.7;1.3;0;AF
35904181;2010;2;1;8;84;98.7;1.3;0;AF
35904181;2010;2;1;9;104;98.1;1.9;0;AF
35904181;2010;2;1;10;74;98.5;1.5;0;AF
35904181;2010;2;1;11;43;97.1;2.9;0;AF
35904181;2010;2;1;12;28;100;0;0;AF
35904193;2010;2;1;1;0;0;0;0;AF
35904193;2010;2;1;2;40;100;0;0;AF
35904193;2010;2;1;3;51;100;0;0;AF
35904193;2010;2;1;4;41;100;0;0;AF
35904193;2010;2;1;5;61;96.4;3.6;0;AF
35904193;2010;2;1;6;55;98.2;0;1.8;AF
